City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,8.28,87,75,4.0,RU,1688834903
1,hawaiian paradise park,19.5933,-154.9731,22.73,89,100,3.44,US,1688834903
2,holualoa,19.6228,-155.9522,22.1,80,75,3.6,US,1688834820
3,brookings,44.3114,-96.7984,21.14,48,0,5.66,US,1688834786
4,vila franca do campo,37.7167,-25.4333,21.23,56,58,1.95,PT,1688834903
5,waitangi,-43.9535,-176.5597,8.79,94,37,5.36,NZ,1688834903
6,vila velha,-20.3297,-40.2925,28.97,55,20,5.66,BR,1688834904
7,albany,42.6001,-73.9662,28.27,75,17,0.94,US,1688834868
8,rio gallegos,-51.6226,-69.2181,0.03,80,20,6.69,AR,1688834790
9,taoudenni,22.6783,-3.9836,47.67,5,0,4.52,ML,1688834904
10,portage la prairie,49.9728,-98.2926,20.52,56,70,2.24,CA,1688834904
11,afua,-0.1567,-50.3867,31.16,56,18,3.75,BR,1688834905
12,tidjikja,18.5564,-11.4271,42.02,10,88,4.59,MR,1688834905
13,adamstown,-25.066,-130.1015,22.43,64,100,7.48,PN,1688834905
14,yako,12.9667,-2.2667,36.5,30,84,0.98,BF,1688834906
15,antsiranana,-12.2787,49.2917,23.17,70,62,9.15,MG,1688834906
16,ancud,-41.8697,-73.8203,8.23,87,98,8.46,CL,1688834906
17,dwarka,22.2394,68.9678,28.19,84,98,6.7,IN,1688834906
18,edinburgh of the seven seas,-37.0676,-12.3116,14.4,82,98,11.42,SH,1688834906
19,college,64.8569,-147.8028,10.97,86,100,3.6,US,1688834906
20,papatowai,-46.5619,169.4708,6.66,90,100,2.9,NZ,1688834907
21,kingston,17.997,-76.7936,34.58,61,20,8.23,JM,1688834509
22,yellowknife,62.456,-114.3525,24.29,38,20,4.63,CA,1688834907
23,invercargill,-46.4,168.35,5.37,93,92,1.71,NZ,1688834907
24,bahau,2.8079,102.4049,23.91,94,57,0.52,MY,1688834907
25,ghat,24.9647,10.1728,36.58,8,0,8.46,LY,1688834907
26,st. john's,47.5649,-52.7093,21.82,91,100,5.66,CA,1688834907
27,kargopol',61.5071,38.9456,13.85,93,98,0.93,RU,1688834908
28,alo,7.4178,6.7371,26.52,89,85,3.11,NG,1688834908
29,stanley,54.868,-1.6985,19.77,89,40,2.57,GB,1688834908
30,isafjordur,66.0755,-23.124,8.02,87,20,5.66,IS,1688834908
31,longyearbyen,78.2186,15.6401,8.91,76,75,5.14,SJ,1688834909
32,sitka,57.0531,-135.33,13.94,82,100,5.66,US,1688834909
33,iqaluit,63.7506,-68.5145,7.85,93,100,1.54,CA,1688834909
34,letterkenny,54.95,-7.7333,22.94,51,60,2.65,IE,1688834909
35,amga,60.8953,131.9608,10.96,44,1,5.47,RU,1688834909
36,fukuchiyama,35.3,135.1167,24.82,98,100,2.59,JP,1688834909
37,bikenibeu village,1.3673,173.1241,26.98,94,100,1.03,KI,1688834910
38,west island,-12.1568,96.8225,25.99,78,40,5.66,CC,1688834910
39,kapuskasing,49.4169,-82.4331,14.05,94,100,4.12,CA,1688834898
40,cabedelo,-6.9811,-34.8339,28.37,78,62,5.69,BR,1688834910
41,ribeira grande,38.5167,-28.7,22.22,68,20,8.23,PT,1688834910
42,port-aux-francais,-49.35,70.2167,0.64,87,100,3.1,TF,1688834910
43,lorengau,-2.0226,147.2712,25.25,89,100,3.1,PG,1688834910
44,manaure,11.7751,-72.4445,32.03,54,100,9.08,CO,1688834911
45,sambava,-14.2667,50.1667,21.88,82,45,5.78,MG,1688834911
46,cabo san lucas,22.8909,-109.9124,33.99,51,0,4.12,MX,1688834671
47,udachny,66.4167,112.4,13.92,67,25,2.59,RU,1688834911
48,tura,25.5198,90.2201,23.98,97,94,2.54,IN,1688834911
49,blackmans bay,-43.0167,147.3167,7.07,88,82,8.11,AU,1688834911
50,la toma,-33.0526,-65.6238,16.63,46,0,5.37,AR,1688834912
51,san patricio,28.017,-97.5169,34.48,54,3,5.54,US,1688834912
52,whitehorse,60.7161,-135.0538,23.39,39,20,6.71,CA,1688834912
53,ushuaia,-54.8,-68.3,3.81,70,75,10.29,AR,1688834645
54,brisas de zicatela,15.8369,-97.0419,30.06,67,60,2.59,MX,1688834912
55,thompson,55.7435,-97.8558,13.09,88,100,5.14,CA,1688834912
56,masterton,-40.9597,175.6575,9.38,98,100,2.1,NZ,1688834913
57,pandan,14.0453,124.1694,27.11,81,100,2.33,PH,1688834913
58,puerto natales,-51.7236,-72.4875,-0.75,86,0,4.63,CL,1688834913
59,greenland,43.0362,-70.8328,30.6,77,40,3.6,US,1688834913
60,dunda,-8.1167,34.25,20.3,46,41,3.53,TZ,1688834913
61,sao joao da barra,-21.6403,-41.0511,28.05,50,3,4.11,BR,1688834913
62,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,100,1.0,RU,1688834913
63,changji,44.0167,87.3167,24.44,53,0,1.0,CN,1688834914
64,touba,8.2833,-7.6833,27.81,68,83,0.99,CI,1688834776
65,hermanus,-34.4187,19.2345,8.22,64,80,9.51,ZA,1688834914
66,oranjemund,-28.55,16.4333,13.84,73,5,4.86,NA,1688834914
67,klyuchi,52.2667,79.1667,20.22,64,49,3.73,RU,1688834914
68,grytviken,-54.2811,-36.5092,-8.08,82,24,5.36,GS,1688834914
69,tiksi,71.6872,128.8694,1.87,68,100,5.6,RU,1688834915
70,waingapu,-9.6567,120.2641,24.02,86,55,4.01,ID,1688834915
71,alaghsas,17.0187,8.0168,40.94,20,20,2.06,NE,1688834915
72,sefrou,33.8319,-4.828,29.53,30,20,4.12,MA,1688834915
73,bereznik,62.8551,42.7072,11.73,98,100,2.7,RU,1688834915
74,saynshand,44.8824,110.1163,21.43,48,25,2.45,MN,1688834916
75,lubango,-14.9172,13.4925,21.92,24,0,2.57,AO,1688834916
76,lospalos,-8.5186,127.0025,20.48,84,28,2.75,TL,1688834916
77,bethel,41.3712,-73.414,30.41,70,75,0.0,US,1688834865
78,wailua homesteads,22.0669,-159.378,25.44,79,100,7.72,US,1688834916
79,tumut,-35.3,148.2167,5.34,96,95,1.63,AU,1688834916
80,ust'-ordynskiy,52.805,104.7508,16.45,81,2,1.34,RU,1688834916
81,dhidhdhoo,6.8833,73.1,27.88,79,12,4.09,MV,1688834840
82,callao,-12.0667,-77.15,23.16,64,0,6.17,PE,1688834917
83,bredasdorp,-34.5322,20.0403,10.26,66,28,7.32,ZA,1688834917
84,broken hill,-31.95,141.4333,8.15,77,0,4.09,AU,1688834917
85,severo-yeniseyskiy,60.3725,93.0408,17.42,66,91,1.43,RU,1688834917
86,punta arenas,-53.15,-70.9167,2.06,80,0,3.09,CL,1688834655
87,kibaya,-5.3,36.5667,14.6,69,43,3.87,TZ,1688834918
88,vilyuchinsk,52.9306,158.4028,13.15,89,100,2.04,RU,1688834918
89,port lincoln,-34.7333,135.8667,12.52,75,25,5.4,AU,1688834897
90,saudarkrokur,65.7461,-19.6394,17.42,55,22,0.79,IS,1688834918
91,vorgashor,67.5833,63.95,11.6,78,95,2.06,RU,1688834918
92,vadso,70.0744,29.7487,11.49,71,76,5.66,NO,1688834918
93,port mathurin,-19.6833,63.4167,23.69,64,20,11.21,MU,1688834919
94,olonkinbyen,70.9221,-8.7187,5.96,89,29,6.93,SJ,1688834919
95,portland,45.5234,-122.6762,18.86,70,100,1.34,US,1688834694
96,nouadhibou,20.931,-17.0347,25.99,61,6,9.77,MR,1688834919
97,dudinka,69.4058,86.1778,16.46,89,82,3.24,RU,1688834919
98,port alfred,-33.5906,26.891,13.43,72,18,3.58,ZA,1688834919
99,korhogo,9.45,-5.6333,28.99,61,85,3.16,CI,1688834919
100,falkenberg,56.9055,12.4912,21.81,56,58,2.32,SE,1688834920
101,fenoarivo be,-18.4333,46.5667,15.02,83,83,3.42,MG,1688834920
102,sinabang,2.4803,96.3801,25.78,83,100,2.85,ID,1688834920
103,saint-denis,48.9167,2.3333,34.36,34,0,5.66,FR,1688834920
104,puerto ayora,-0.7393,-90.3518,29.98,86,76,3.13,EC,1688834920
105,iskateley,67.6803,53.1512,6.69,77,99,4.8,RU,1688834920
106,avarua,-21.2078,-159.775,23.03,94,20,1.03,CK,1688834921
107,nar'yan-mar,67.6713,53.087,6.77,77,99,4.79,RU,1688834921
108,keflavik,64.0049,-22.5624,17.24,48,0,3.6,IS,1688834921
109,margaret river,-33.95,115.0667,14.33,76,84,5.81,AU,1688834921
110,hilo,19.7297,-155.09,22.85,90,100,0.89,US,1688834921
111,pangody,65.85,74.4859,15.61,75,83,4.13,RU,1688834921
112,carnarvon,-24.8667,113.6333,16.64,76,0,7.21,AU,1688834921
113,dalbandin,28.8947,64.4101,34.43,9,1,4.05,PK,1688834922
114,arangaon,18.6667,75.1833,25.02,77,95,6.5,IN,1688834922
115,nova sintra,14.8667,-24.7167,22.82,83,70,3.98,CV,1688834922
116,arua,3.0201,30.9111,17.94,96,90,3.14,UG,1688834922
117,westport,41.1415,-73.3579,31.15,78,0,3.6,US,1688834922
118,puerto carreno,6.189,-67.4859,27.99,78,95,2.06,CO,1688834922
119,nemuro,43.3236,145.575,13.34,98,65,2.53,JP,1688834923
120,port hedland,-20.3167,118.5667,11.03,40,4,3.6,AU,1688834923
121,ulladulla,-35.35,150.4667,11.93,57,5,6.11,AU,1688834923
122,pacific grove,36.6177,-121.9166,18.55,82,75,5.81,US,1688834923
123,niteroi,-22.8833,-43.1036,32.79,51,0,2.57,BR,1688834923
124,lacy-lakeview,31.6293,-97.1028,33.59,58,0,6.17,US,1688834923
125,bonito,-21.1211,-56.4819,30.38,35,53,5.15,BR,1688834923
126,ust-nera,64.5667,143.2,14.14,86,100,1.35,RU,1688834924
127,daru,-9.0763,143.2092,25.06,86,100,6.61,PG,1688834924
128,ilulissat,69.2167,-51.1,7.01,87,20,3.6,GL,1688834742
129,usta muhammad,28.1794,68.0445,34.19,42,94,1.46,PK,1688834924
130,susuman,62.7833,148.1667,13.21,83,84,3.61,RU,1688834924
131,utrik,11.2278,169.8474,27.97,79,96,7.2,MH,1688834924
132,bamboo flat,11.7,92.7167,25.05,94,75,1.03,IN,1688834924
133,paro,27.4305,89.4133,18.47,98,94,0.33,BT,1688834925
134,isabela,6.7085,121.9711,24.8,92,100,1.26,PH,1688834925
135,general conesa,-40.1,-64.4333,11.74,47,100,6.17,AR,1688834925
136,goris,41.9842,44.1158,19.54,96,95,2.1,GE,1688834925
137,wamba,8.9333,8.6,26.84,78,84,2.3,NG,1688834925
138,atafu village,-8.5421,-172.5159,28.42,78,77,8.39,TK,1688834926
139,qaqortoq,60.7167,-46.0333,8.04,77,22,2.54,GL,1688834926
140,mount pearl,47.5166,-52.7813,21.36,91,100,5.66,CA,1688834926
141,georgetown,5.4112,100.3354,26.12,89,40,4.12,MY,1688834926
142,jamestown,42.097,-79.2353,25.57,46,0,1.79,US,1688834794
143,porto cristo,39.5395,3.333,34.07,69,37,2.4,ES,1688834927
144,lupane,-18.9315,27.807,16.02,40,1,2.63,ZW,1688834927
145,chonchi,-42.6128,-73.8092,8.4,94,99,4.4,CL,1688834927
146,souillac,-20.5167,57.5167,24.21,73,75,4.63,MU,1688834927
147,qarauyl,48.9451,79.255,16.86,70,100,2.07,KZ,1688834927
148,kendari,-3.945,122.4989,23.09,95,44,1.55,ID,1688834928
149,kirkwall,58.9848,-2.9587,18.03,72,0,10.29,GB,1688834928
150,seorinarayan,21.7333,82.5833,25.74,81,92,4.11,IN,1688834928
151,paita,-5.0892,-81.1144,23.67,71,90,3.54,PE,1688834928
